"Institution","Transfer Subject","Transfer Course #","Transfer Course Title","Term","Marist Subject","Marist Course #","Marist Course Title","Status","Group"
"DUTCHESS COMMUNITY COLLEGE","BUS","141","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","162","INTRO FASH INDUST","199640","FASH","100N","INTRO FASH INDUST","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","207","BUSINESS COURSE","199020","BUS","901N","BUS COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","208","SMALL BUS MANAGMNT","199640","FASH","361N","SMALL BUS MANAGMNT","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","210","BUSINESS ELECTIVE","199720","BUS","801L","BUSINESS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","215","BUSINESS LAW I","197520","BUS","382N","LGL FOUND OF BUS","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","215","BUSINESS LAW I","197520","BUS","380N","BUSINESS LAW I","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","215","BUSINESS LAW I","197520","BUS","380N","BUSINESS LAW I","AC","3"
"DUTCHESS COMMUNITY COLLEGE","BUS","215","BUSINESS LAW I","197520","BUS","382N","LGL FOUND OF BUS","AC","3"
"DUTCHESS COMMUNITY COLLEGE","BUS","216","BUSINESS LAW II","197520","BUS","381N","BUSINESS LAW II","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","216","BUSINESS LAW II","197520","BUS","381N","BUSINESS LAW II","AC","3"
"DUTCHESS COMMUNITY COLLEGE","BUS","233","BUSINESS LAW I","197520","BUS","380N","BUSINESS LAW I","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","241","BUSINESS LAW I","197520","BUS","380N","BUSINESS LAW I","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","243","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","244","HR MANAGEMENT","197520","BUS","301N","HR MANAGEMNT","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","245","BUSINESS ELECTIVE","199020","BUS","803N","BUSINESS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","246","BUSINESS ELECTIVE","199020","BUS","803N","BUSINESS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","254","BUS COURSE","199020","BUS","901N","BUS COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","255","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","273","BUSINESS ELECTIVE","197520","BUS","802N","BUSINESS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","382N","LGL FOUND OF BUS","200140","BUS","382N","LGL FOUND OF BUS","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","800N","BUSINESS ELECTIVE","199440","BUS","800N","BUSINESS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","801","BUSINESS ELECTIVE","199720","BUS","801L","BUSINESS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","801N","BUSINESS ELECTIVE","199020","BUS","801N","BUSINESS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","906","BUSINESS ELECTIVE","199020","BUS","801N","BUSINESS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","907","BUSINESS ELECTIVE","197520","BUS","802N","BUSINESS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","909","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","BUS","910","Personal Finance","201440","BUS","801N","BUSINESS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","BYS","207","PHIL OF EDUCATION","197520","PHIL","233L","PHIL OF EDUCATION","AC",""
"DUTCHESS COMMUNITY COLLEGE","CAD","102","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CAD","103","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CAD","104","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CAD","206","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CAD","271","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CAD","272","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CAD","273","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CDC","103","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CDC","104","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CDC","203","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CDC","204","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHC","101","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHC","102","NONTRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHC","103","NONTRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHC","104","NONTRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHC","201","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHC","202","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHC","203","NONTRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHC","204","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHC","206","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHC","901","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","101","INTRO CHEMISTRY","197520","CHEM","101L","INTRO CHEMISTRY","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","107","CHEMISTRY COURSE","197520","CHEM","901L","CHEMISTRY COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","111","INTRO CHEMISTRY","197520","CHEM","101L","INTRO CHEMISTRY","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","111L","CHEMISTRY ELECT","197520","CHEM","801L","CHEMISTRY ELECT","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","112","CHEMISTRY COURSE","199440","CHEM","900L","CHEMISTRY COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","116","INTR ORGAN CHEM","199120","CHEM","201L","INTR ORGAN CHEM","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","119","CHEMISTRY ELECT","197520","CHEM","801L","CHEMISTRY ELECT","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","121","GEN CHEMISTRY I","200340","CHEM","131L","GEN CHEM+LAB I","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","121L","GEN CHEM LAB I","197520","CHEM","113L","GEN CHEM LAB I","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","121LAB","GEN CHEM LAB I","197520","CHEM","113L","GEN CHEM LAB I","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","122","GENERAL CHEM. II","200340","CHEM","132L","GEN CHEM II+LAB","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","122L","GEN CHEM LAB II","197520","CHEM","114L","GEN CHEM LAB II","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","122LAB","GEN CHEM LAB II","197520","CHEM","114L","GEN CHEM LAB II","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","231","ORGANIC CHEM I+LAB","197520","CHEM","211L","ORGANIC CHEM I","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","231","ORGANIC CHEM I+LAB","197520","CHEM","215L","Organic Chem I Lab","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","231LAB","ORG CHEM LAB","197520","CHEM","213L","ORG CHEM LAB","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","232","ORG CHEMISTRY II","197520","CHEM","212L","ORG CHEMISTRY II","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","232","ORG CHEMISTRY II","197520","CHEM","216L","ORG CHEMISTRY LAB II","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","232L","ORG CHEM LAB","200640","CHEM","216L","ORG CHEM LAB II","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","273","GENERAL CHEM. II","197520","CHEM","112L","GENERAL CHEM. II","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","904","CHEMISTRY COURSE","197520","CHEM","901L","CHEMISTRY COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHE","904L","CHEMISTRY ELECTIVE","199020","CHEM","802L","CHEMISTRY ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHEM","111","INTRO CHEMISTRY","197520","CHEM","101L","INTRO CHEMISTRY","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHEM","116","SELF,NATURE-HIST","199140","INTD","213L","SELF,NATURE-HIST","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHEM","121","GEN CHEMISTRY I","200340","CHEM","131L","GEN CHEM+LAB I","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHEM","122","GENERAL CHEM. II","200340","CHEM","131L","GEN CHEM+LAB I","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHEM","122L","GEN CHEM LAB II","197520","CHEM","114L","GEN CHEM LAB II","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHEM","2261","ORG CHEM I","197520","CHEM","211L","ORGANIC CHEM I","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHEM","2262","ORG CHEM II","197520","CHEM","212L","ORG CHEMISTRY II","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHEM","2263","ORG CHEM LAB","197520","CHEM","213L","ORG CHEM LAB","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHEM","231","ORGANIC CHEM I","197520","CHEM","211L","ORGANIC CHEM I","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHM","101","INTRO TO SOC WORK","197520","SOCW","230L","INTRO TO SOC WORK","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHM","103","SOCIAL WORK ELECTIVE","199020","SOCW","801N","SOCIAL WORK ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHM","104","SOCIAL WORK ELECTIVE","197520","SOCW","802N","SOCIAL WORK ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHM","273","SOCIAL WORK ELECTIVE","199020","SOCW","801N","SOCIAL WORK ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CHS","242","DRUG/ALCOHOL ABUSE","197520","CRJU","242L","DRUG/ALCOHOL ABUS","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIM","103","GENERAL ELECTIVE","199020","ELEC","806N","GENERAL ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIM","202","GENERAL ELECTIVE","199020","ELEC","805N","GENERAL ELECTIVE","AC","4"
"DUTCHESS COMMUNITY COLLEGE","CIM","202","GENERAL ELECTIVE","199020","ELEC","804N","GENERAL ELECTIVE","AC","4"
"DUTCHESS COMMUNITY COLLEGE","CIM","204","GENERAL ELECTIVE","199020","ELEC","805N","GENERAL ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIM","204","GENERAL ELECTIVE","199020","ELEC","805N","GENERAL ELECTIVE","AC","4"
"DUTCHESS COMMUNITY COLLEGE","CIS","12","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","100","GENERAL ELECTIVE","199020","ELEC","801L","GENERAL ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","105","GENERAL ELECTIVE","199020","ELEC","802L","GENERAL ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","107","IS ELECTIVE","199540","IS","801L","IS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","107","CONDUCTING BUS ON THE INTERNET","199540","IS","801L","IS ELECTIVE","AC","10"
"DUTCHESS COMMUNITY COLLEGE","CIS","108","INFO+COMP LITERACY","199540","CSIS","103L","INFO+COMP LITERACY","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","109","CSIS ELECTIVE","199020","CSIS","802L","COMPUTER STUDIES ELEC","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","111","COMPUTER SYSTEMS & APPLICATION","199540","IS","130L","COMP STUD CONC","IN","9"
"DUTCHESS COMMUNITY COLLEGE","CIS","111","COMPUTER SYSTEMS & APPLICATION","200740","ITS","130L","INFO TECH&SYS CONCEPTS","IN","9"
"DUTCHESS COMMUNITY COLLEGE","CIS","111","COMPUTER SYSTEMS & APPLICATION","201340","CMPT","103L","TECNOLOGY FOR 21st CENTURU","IN","9"
"DUTCHESS COMMUNITY COLLEGE","CIS","111","TECHNOLOGY FOR 21st CENTURY","199540","IS","130L","COMP STUD CONC","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","111","TECHNOLOGY FOR 21st CENTURY","201340","CMPT","103L","TECNOLOGY FOR 21st CENTURU","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","111","TECHNOLOGY FOR 21st CENTURY","200740","ITS","130L","INFO TECH&SYS CONCEPTS","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","111","INFO TECH&SYS CONCEPTS","199540","IS","130L","COMP STUD CONC","IN",""
"DUTCHESS COMMUNITY COLLEGE","CIS","111","INFO TECH&SYS CONCEPTS","200740","ITS","130L","INFO TECH&SYS CONCEPTS","IN",""
"DUTCHESS COMMUNITY COLLEGE","CIS","111","INFO TECH&SYS CONCEPTS","201340","CMPT","103L","TECNOLOGY FOR 21st CENTURU","IN",""
"DUTCHESS COMMUNITY COLLEGE","CIS","111","COMP STUD CONC","199540","IS","130L","COMP STUD CONC","IN",""
"DUTCHESS COMMUNITY COLLEGE","CIS","111","COMP STUD CONC","200740","ITS","130L","INFO TECH&SYS CONCEPTS","IN",""
"DUTCHESS COMMUNITY COLLEGE","CIS","111","COMP STUD CONC","201340","CMPT","103L","TECNOLOGY FOR 21st CENTURU","IN",""
"DUTCHESS COMMUNITY COLLEGE","CIS","112","COMPUTER PROGRAMMING I","199020","IS","804L","INFO SYSTEMS ELECTIVE","AC","10"
"DUTCHESS COMMUNITY COLLEGE","CIS","112","IS ELECTIVE","199020","IS","804L","INFO SYSTEMS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","112L","COMPUTER STUDIES ELECTIVE","199020","CSIS","802L","COMPUTER STUDIES ELEC","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","112L","COMPUTER STUDIES ELEC","199020","CSIS","802L","COMPUTER STUDIES ELEC","AC","5"
"DUTCHESS COMMUNITY COLLEGE","CIS","113","VISUAL BASIC PROG","199540","IS","236L","PROB SOLVING-PROG","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","114","IS ELECTIVE","199540","IS","801L","IS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","117","DATA COMMUNICATIONS","200740","ITS","406N","DATA COMMUNICATIONS","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","120","COMPUTER BASED PUB","199020","CSIS","801L","COMPUTER STUDIES ELEC","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","123","CMSC ELECTIVE","197520","CMSC","801L","COMP SCI ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","124","INFO SYSTEMS ELECTIVE","199020","IS","805L","INFO SYSTEMS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","125","GENERAL ELECTIVE","199020","ELEC","801L","GENERAL ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","126","UNIX","200740","ITS","312L","UNIX","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","126","UNIX/LINEX","199740","IT","312L","UNIX","IN",""
"DUTCHESS COMMUNITY COLLEGE","CIS","126","UNIX/LINEX","200740","ITS","312L","UNIX","IN",""
"DUTCHESS COMMUNITY COLLEGE","CIS","126","UNIX","199740","IT","312L","UNIX","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","133","IS ELECTIVE","199020","IS","803L","INFO SYSTEMS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","150","INFO TECHNOLOGY","199020","IT","805L","INFO TECHNOLOGY","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","211","INFO SYSTEMS ELECTIVE","199020","IS","804L","INFO SYSTEMS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","212","SYSTEMS ANALYSIS & DESIGN","201320","CMPT","430L","TECHNOLOGY+ENTREPRENEURSHIP","AC","9"
"DUTCHESS COMMUNITY COLLEGE","CIS","212","SYSTEMS ANALYSIS & DESIGN","200740","ITS","430L","SYSTMS ANLYS+DESGN","AC","9"
"DUTCHESS COMMUNITY COLLEGE","CIS","212","SYS ANALYSIS METH","201320","CMPT","430L","TECHNOLOGY+ENTREPRENEURSHIP","IN",""
"DUTCHESS COMMUNITY COLLEGE","CIS","212","SYS ANALYSIS METH","200740","ITS","430L","SYSTMS ANLYS+DESGN","IN",""
"DUTCHESS COMMUNITY COLLEGE","CIS","213","INFO+COMP LITERACY","199540","CSIS","103L","INFO+COMP LITERACY","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","2130L","COMP STUD CONC","199540","IS","130L","COMP STUD CONC","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","214","OBJ-ORNT PRG C++","199540","CMSC","310L","OBJ-ORNT PRG C++","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","214L","OBJ ORNT PRG C++","199540","CMSC","310L","OBJ-ORNT PRG C++","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","215","Internet Prog Java","199540","CMSC","120L","COMPUTER SCI I","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","215","COMP SCI I","201320","CMPT","220L","SOFTWARE DEVELOPMENT I","IN",""
"DUTCHESS COMMUNITY COLLEGE","CIS","215","COMP SCI I","199540","CMSC","120L","COMPUTER SCI I","IN",""
"DUTCHESS COMMUNITY COLLEGE","CIS","215","Internet Prog Java","201320","CMPT","220L","SOFTWARE DEVELOPMENT I","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","216","IT ELECTIVE","199020","IT","801L","INFO TECHNOLOGY ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","216","Unix/Linux","199020","IT","801L","INFO TECHNOLOGY ELECTIVE","IN",""
"DUTCHESS COMMUNITY COLLEGE","CIS","217","IT ELECTIVE","199020","IT","801L","INFO TECHNOLOGY ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","218","IT  ELECTIVE","199020","IT","802L","INFO TECHNOLOGY ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","223","COMP SCI ELECTIVE","199020","CMSC","803L","COMP SCI ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","226","IT ELECTIVE","199020","IT","801L","INFO TECHNOLOGY ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","227","ARCH HARDWARE+SFTWR","200730","ITS","321L","ARCH HARDWARE+SFTWR","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","228","IT ELECTIVE","199020","IT","802L","INFO TECHNOLOGY ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","235","IT ELECTIVE","199020","IT","802L","INFO TECHNOLOGY ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","260","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","261","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","271","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","272","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","273","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","801","CIS ELECTIVE","197520","CIS","801L","CIS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","901","COMP SCI ELECTIVE","197520","CMSC","801L","COMP SCI ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","901L","CIS COURSE","197520","CIS","901L","CIS COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","909","IS ELECTIVE","199540","IS","801L","IS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CIS","911","IS ELECTIVE","199540","IS","801L","IS ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CLP","101","EMPLOYMENT PRACT","201420","CRDV","100N","EMPLOYMENT PRACT","AC",""
"DUTCHESS COMMUNITY COLLEGE","CLP","101","EMPLOYMENT PRACT","199240","CRDV","100N","EMPLOYMENT PRACT","AC",""
"DUTCHESS COMMUNITY COLLEGE","CLP","101","EMPLOYMENT PRACT","201420","CRDV","100N","EMPLOYMENT PRACT","IN",""
"DUTCHESS COMMUNITY COLLEGE","CLP","101","EMPLOYMENT PRACT","199240","CRDV","100N","EMPLOYMENT PRACT","IN",""
"DUTCHESS COMMUNITY COLLEGE","CLS","213","COMP STUD CONC","199540","IS","130L","COMP STUD CONC","AC",""
"DUTCHESS COMMUNITY COLLEGE","CMH","101","INTRO TO SOC WORK","197520","SOCW","230L","INTRO TO SOC WORK","AC",""
"DUTCHESS COMMUNITY COLLEGE","CMH","102","SOCIAL WORK ELECTIVE","197520","SOCW","801L","SOCIAL WORK ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CMH","103","SOCIAL WORK ELECTIVE","199020","SOCW","801N","SOCIAL WORK ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CMH","104","SOCIAL WORK ELECTIVE","197520","SOCW","803N","SOCIAL WORK ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CMH","104","SOCIAL WORK ELECTIVE","197520","SOCW","802N","SOCIAL WORK ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CMH","201","SOC SERV THEO/PRA","197520","SOCW","330L","SOC SERV THEO/PRA","AC",""
"DUTCHESS COMMUNITY COLLEGE","CMH","203","SOCIAL WORK ELECTIVE","199020","SOCW","801N","SOCIAL WORK ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CMH","204","SOCIAL WORK ELECTIVE","199020","SOCW","801N","SOCIAL WORK ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CMH","273","SOCIAL WORK ELECTIVE","199020","SOCW","801N","SOCIAL WORK ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CMSC","120L","COMPUTER SCI I","199540","CMSC","120L","COMPUTER SCI I","AC",""
"DUTCHESS COMMUNITY COLLEGE","CMSC","121L","COMPUTER SCI II","199540","CMSC","121L","COMPUTER SCI II","AC",""
"DUTCHESS COMMUNITY COLLEGE","CMSC","412L","ROBOTICS","200420","CMSC","412L","ROBOTICS","AC",""
"DUTCHESS COMMUNITY COLLEGE","CMSC","801L","COMPCI ELECTIVE","197520","CMSC","801L","COMP SCI ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CMSC","802L","COMP SCI ELECTIVE","197520","CMSC","802L","COMP SCI ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","CO","140","Media and Society","201220","COM","201L","COMMUNIC/SOCIETY","AC",""
"DUTCHESS COMMUNITY COLLEGE","COL","100","STUDY SKILL ELECT","197520","LERN","801L","STUDY SKILL ELECT","AC",""
"DUTCHESS COMMUNITY COLLEGE","COM","100","COMM ELECTIVE","199020","COM","801L","COMM ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","COM","101","COMM PRINCIPLES","201140","COM","102L","INTRO TO COMM","IN",""
"DUTCHESS COMMUNITY COLLEGE","COM","101","Intro Comm Media","199740","COM","100L","COMM PRINCIPLES","AC",""
"DUTCHESS COMMUNITY COLLEGE","COM","101","Intro Comm Media","201140","COM","102L","INTRO TO COMM","AC",""
"DUTCHESS COMMUNITY COLLEGE","COM","101","COMM PRINCIPLES","199740","COM","100L","COMM PRINCIPLES","IN",""
"DUTCHESS COMMUNITY COLLEGE","COM","102","COM ELECTIVE","199020","COM","805L","COMM ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","COM","103","COMM COURSE","199020","COM","901L","COMM COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","COM","104","COMM COURSE","199020","COM","901L","COMM COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","COM","110","VIDEO PRODUCTION","199740","COM","287L","TV PRODUCTION","AC",""
"DUTCHESS COMMUNITY COLLEGE","COM","110","VIDEO PRODUCTION","201340","MDIA","203L","VIDEO PRODUCTION","AC",""
"DUTCHESS COMMUNITY COLLEGE","COM","110","TV PRODUCTION","199740","COM","287L","TV PRODUCTION","AC",""
"DUTCHESS COMMUNITY COLLEGE","COM","110","TV PRODUCTION","201340","MDIA","203L","VIDEO PRODUCTION","AC",""
"DUTCHESS COMMUNITY COLLEGE","COM","120","INTRO MEDIA WRITING","199740","COM","289L","WRIT FOR MEDIA","AC",""
"DUTCHESS COMMUNITY COLLEGE","COM","120","WRIT FOR MEDIA","201340","MDIA","201L","WRITING FOR MEDIA","AC",""
"DUTCHESS COMMUNITY COLLEGE","COM","120","INTRO MEDIA WRITING","201340","MDIA","201L","WRITING FOR MEDIA","AC",""
"DUTCHESS COMMUNITY COLLEGE","COM","120","WRIT FOR MEDIA","199740","COM","289L","WRIT FOR MEDIA","AC",""
